url,status_code,accessible,robots_meta,noindex,canonical,error,final_url
https://sphereglobal.solutions/what-we-do/bpo-service-management/reporting-and-business-analytics,200,True,"index, follow",False,https://sphereglobal.solutions/what-we-do/bpo-service-management/reporting-and-business-analytics,,https://sphereglobal.solutions/what-we-do/bpo-service-management/reporting-and-business-analytics
https://sphereglobal.solutions/what-we-do/bpo-service-management/sales-and-lead-management,200,True,"index, follow",False,https://sphereglobal.solutions/what-we-do/bpo-service-management/sales-and-lead-management,,https://sphereglobal.solutions/what-we-do/bpo-service-management/sales-and-lead-management
https://sphereglobal.solutions/what-we-do/bpo-service-management/procurement-and-supply-chain-operations,200,True,"index, follow",False,https://sphereglobal.solutions/what-we-do/bpo-service-management/procurement-and-supply-chain-operations,,https://sphereglobal.solutions/what-we-do/bpo-service-management/procurement-and-supply-chain-operations
https://sphereglobal.solutions/digital-workplace,200,True,"index, follow",False,https://sphereglobal.solutions/digital-workplace,,https://sphereglobal.solutions/digital-workplace
https://sphereglobal.solutions/cloud-and-application-services,200,True,"index, follow",False,https://sphereglobal.solutions/cloud-and-application-services,,https://sphereglobal.solutions/cloud-and-application-services
https://sphereglobal.solutions/consulting-and-professional-services,200,True,"index, follow",False,https://sphereglobal.solutions/consulting-and-professional-services,,https://sphereglobal.solutions/consulting-and-professional-services
https://sphereglobal.solutions/managed-it-services,200,True,"index, follow",False,https://sphereglobal.solutions/what-we-do/managed-it-services,,https://sphereglobal.solutions/managed-it-services
https://sphereglobal.solutions/strategic-staffing-and-payroll-services,200,True,"index, follow",False,https://sphereglobal.solutions/strategic-staffing-and-payroll-services,,https://sphereglobal.solutions/strategic-staffing-and-payroll-services
https://sphereglobal.solutions/industry,200,True,"index, follow",False,https://sphereglobal.solutions/industry,,https://sphereglobal.solutions/industry
https://sphereglobal.solutions/industry/telecommunications,200,True,"index, follow",False,https://sphereglobal.solutions/industry/telecommunications,,https://sphereglobal.solutions/industry/telecommunications
https://sphereglobal.solutions/industry/tech-managed-services,200,True,"index, follow",False,https://sphereglobal.solutions/industry/tech-managed-services,,https://sphereglobal.solutions/industry/tech-managed-services
https://sphereglobal.solutions/industry/logistics-transport-infrastructure,200,True,"index, follow",False,https://sphereglobal.solutions/industry/logistics-transport-infrastructure,,https://sphereglobal.solutions/industry/logistics-transport-infrastructure
https://sphereglobal.solutions/industry/adtech-martech,200,True,"index, follow",False,https://sphereglobal.solutions/industry/adtech-martech,,https://sphereglobal.solutions/industry/adtech-martech
